name, order, ra, dec, slopes[0], slopes[1],  slopes_sigma[0], slopes_sigma[1], change_point, change_point_sigma, log_marginal_likelihood
Source_RA:5d43m26.21128618s_DEC:-26d06m49.41903026s, 1, 5.723947579494484, -26.11372750840442, -0.8496049651206908, 0.3653564875611216, 0.26648345700108134, 1.3303475920250154, [1.400351092521729], [0.17393304380372168], 66.15861862581345
Source_RA:5d41m46.80604598s_DEC:-25d09m34.4822623s, 1, 5.696335012771131, -25.15957840619425, -0.45800897832700926, -0.12515793782113235, 0.3731377138086032, 0.7943341189816784, [1.3424466353367683], [0.21720642764833872], 60.529625995207226
Source_RA:5d41m13.05738561s_DEC:-26d09m25.41624062s, 1, 5.686960384892029, -26.157060066837737, -0.011587718344501148, 1.6820057147616847, 0.39611528027468335, 0.9549324368515486, [1.3695942988803687], [0.12973842760801108], 63.459775455898516
Source_RA:5d39m56.22854937s_DEC:-25d58m25.52098138s, 1, 5.66561904149248, -25.97375582816214, -0.7683543274520476, -0.339993010627142, 0.5753749396602412, 1.1214650300436486, [1.2974607671058833], [0.24380969153224546], 64.71948136237738
Source_RA:5d39m18.50304954s_DEC:-25d46m01.26619441s, 1, 5.655139735982488, -25.767018387334932, -1.3121645722666189, 0.17108841125015448, 0.21481284695545552, 0.923335197055385, [1.425116007363762], [0.11272330522318343], 70.57443121314036
Source_RA:5d38m41.51227491s_DEC:-26d00m25.59899332s, 1, 5.644864520808859, -26.00711083147816, -0.9653959239626407, -0.03807736339727404, 0.46874343398330187, 1.069291079873605, [1.360027398392477], [0.19206369469453252], 65.62065082667766
Source_RA:5d38m17.23247966s_DEC:-25d34m57.4352996s, 1, 5.6381201332389, -25.58262091655568, -0.8065814060370501, -0.08557688379858315, 0.23877794325171342, 1.1956600644667743, [1.4545335917414741], [0.15296610633451027], 68.49129116297024
Source_RA:5d37m15.01394384s_DEC:-25d23m56.97218227s, 1, 5.620837206622363, -25.39915893951815, -1.4270556249257413, 0.7151420378339189, 0.4266174563828376, 0.9338881706044031, [1.3680339488266635], [0.11062011126479143], 65.46460893970352
Source_RA:5d37m12.55483692s_DEC:-26d11m24.50608915s, 1, 5.620154121366074, -26.190140580319742, -1.0506411162385547, 0.37689556038313876, 0.14252946217695725, 0.24218562693981663, [1.3297875234013445], [0.04245519685244563], 68.98767004822328
Source_RA:5d37m02.69380785s_DEC:-25d53m21.93117375s, 1, 5.6174149466249075, -25.88942532604192, 0.3856685931661717, 1.2556482209726951, 0.046323827653042424, 0.29117273192650295, [1.4916276408665465], [0.04598265742355038], 67.69642701246369
